,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-08-19 00:22:26,0.0,-1.2581930302746066e-09,1.3373330693112981e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-08-19 00:52:26,0.0,-1.3852983580325605e-09,1.341754238385174e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-08-19 01:22:26,0.0,-1.2915768682658275e-09,1.3559208179092633e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-08-19 01:52:26,0.0,-1.2853245303246994e-09,1.3068270024557932e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-08-19 02:22:27,0.0,-1.2475927384328987e-09,1.2197749136447482e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-08-19 02:52:26,0.0,-1.4347082231035004e-09,1.2319897568790266e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-08-19 03:22:26,0.0,-1.3321200209406223e-09,1.2207935250887974e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-08-19 03:52:26,0.0,-1.2868398122906069e-09,1.268213846757752e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-08-19 04:22:26,0.0,-1.1873390223311368e-09,1.3066459524134311e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-08-19 04:52:26,0.0,-1.238495794687194e-09,1.142355409024825e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-08-19 05:22:26,0.0,-1.2958456077517005e-09,1.2660582677303583e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-08-19 05:52:26,0.0,-1.2579296165957655e-09,1.2684253196210567e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-08-19 06:22:26,0.0,-1.2847461538089212e-09,1.316855124847346e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-08-19 06:52:26,0.0,-1.2415879784186914e-09,1.2377212574914507e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-08-19 07:22:27,0.0,-1.2867723417217568e-09,1.296607252397849e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2021-08-19 07:52:26,0.0,-1.1758426217684878e-09,1.31044538265315e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2021-08-19 08:22:27,0.0,-1.327027941009914e-09,1.2308414405903851e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2021-08-19 08:52:26,0.0,-1.2586855674020919e-09,1.269622541596948e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2021-08-19 09:22:26,0.0,-1.2153974636421143e-09,1.2661728642165986e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2021-08-19 09:52:26,0.0,-1.2993050640430781e-09,1.3424001930574e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2021-08-19 10:22:26,0.0,-1.3468371413382218e-09,1.3308347705097376e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2021-08-19 10:52:27,0.0,-1.2460448219213616e-09,1.3412353254157196e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2021-08-19 11:22:27,0.0,-1.2556008867337197e-09,1.3680095575720349e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2021-08-19 11:52:26,0.0,-1.3185097405030192e-09,1.252519214613015e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2021-08-19 12:22:27,0.0,-1.2026769025386397e-09,1.2800403355631692e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2021-08-19 12:52:26,0.0,-1.208972859881512e-09,1.2444345843062396e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2021-08-19 13:22:27,0.0,-1.1784828459053678e-09,1.2235816895690676e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2021-08-19 13:52:26,0.0,-1.1731145172973296e-09,1.3125011557676352e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2021-08-19 14:22:26,0.0,-1.2155740548376732e-09,1.3145034072575504e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2021-08-19 14:52:26,0.0,-1.1663347285993626e-09,1.2026270255432921e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2021-08-19 15:22:26,0.0,-1.2145121158149712e-09,1.3082635139800865e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2021-08-19 15:52:26,0.0,-1.2279749510398688e-09,1.3459783335014323e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2021-08-19 16:22:26,0.0,-1.3502166959282784e-09,1.243065187796783e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2021-08-19 16:52:26,0.0,-1.2437442973076698e-09,1.3565054852402666e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2021-08-19 17:22:26,0.0,-1.201798525609338e-09,1.3052273670079443e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2021-08-19 17:52:26,0.0,-1.2630079557006392e-09,1.351664695868126e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2021-08-19 18:22:26,0.0,-1.384256786043496e-09,1.2752473113364306e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2021-08-19 18:52:26,0.0,-1.2956311042256463e-09,1.2287239456370777e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2021-08-19 19:22:28,0.0,-1.255296463511009e-09,1.162882281936709e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
