,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2021-08-19 00:22:26,413.0614542335349,-416.27778098718284,1222.8740474429987,413.0614542335349,413.0614542335349,0.0,0.0,0.0,0.0,0.0,0.0,413.0614542335349
1,2021-08-19 00:52:26,409.7734374280629,-470.96596269743793,1256.8801328654724,409.7734374280629,409.7734374280629,0.0,0.0,0.0,0.0,0.0,0.0,409.7734374280629
2,2021-08-19 01:22:26,406.4854206225908,-403.97459648217665,1297.0297136140318,406.4854206225908,406.4854206225908,0.0,0.0,0.0,0.0,0.0,0.0,406.4854206225908
3,2021-08-19 01:52:26,403.19740381711875,-453.5326390600947,1222.9991962133483,403.19740381711875,403.19740381711875,0.0,0.0,0.0,0.0,0.0,0.0,403.19740381711875
4,2021-08-19 02:22:27,399.9075601173624,-453.0478579310051,1256.06133420096,399.90756011736244,399.90756011736244,0.0,0.0,0.0,0.0,0.0,0.0,399.9075601173624
5,2021-08-19 02:52:26,396.6213697698544,-461.1389804793228,1245.4940773901994,396.6213697698544,396.6213697698544,0.0,0.0,0.0,0.0,0.0,0.0,396.6213697698544
6,2021-08-19 03:22:26,393.33335274622226,-476.22307935541403,1224.6741821454182,393.33335274622226,393.33335274622226,0.0,0.0,0.0,0.0,0.0,0.0,393.33335274622226
7,2021-08-19 03:52:26,390.0453353559304,-439.25484329622384,1223.8636447782621,390.0453353559304,390.0453353559304,0.0,0.0,0.0,0.0,0.0,0.0,390.0453353559304
8,2021-08-19 04:22:26,386.7573179656385,-487.5268946517484,1209.1209183124095,386.7573179656385,386.7573179656385,0.0,0.0,0.0,0.0,0.0,0.0,386.7573179656385
9,2021-08-19 04:52:26,383.4693005753466,-436.2554217871436,1265.2564391733379,383.4693005753466,383.4693005753466,0.0,0.0,0.0,0.0,0.0,0.0,383.4693005753466
10,2021-08-19 05:22:26,380.181283237655,-408.06483670233706,1245.4179032467846,380.181283237655,380.181283237655,0.0,0.0,0.0,0.0,0.0,0.0,380.181283237655
11,2021-08-19 05:52:26,376.8932658999634,-497.2093538758471,1199.4420043746868,376.8932658999634,376.8932658999634,0.0,0.0,0.0,0.0,0.0,0.0,376.8932658999634
12,2021-08-19 06:22:26,373.60524856227187,-402.0726830231232,1261.287192938295,373.60524856227187,373.60524856227187,0.0,0.0,0.0,0.0,0.0,0.0,373.60524856227187
13,2021-08-19 06:52:26,370.31723122458027,-598.9248395412196,1238.7463106841396,370.31723122458027,370.31723122458027,0.0,0.0,0.0,0.0,0.0,0.0,370.31723122458027
14,2021-08-19 07:22:27,367.02738708069137,-519.9245967426987,1218.270853348276,367.02738708069137,367.02738708069137,0.0,0.0,0.0,0.0,0.0,0.0,367.02738708069137
15,2021-08-19 07:52:26,363.74119628954423,-499.96015252644304,1230.2901601819729,363.74119628954423,363.74119628954423,0.0,0.0,0.0,0.0,0.0,0.0,363.74119628954423
16,2021-08-19 08:22:27,360.4513521456553,-488.8686213632772,1269.7942256378815,360.4513521456553,360.4513521456553,0.0,0.0,0.0,0.0,0.0,0.0,360.4513521456553
17,2021-08-19 08:52:26,357.1651613797531,-492.64213653955665,1235.2847040264114,357.1651613797531,357.1651613797531,0.0,0.0,0.0,0.0,0.0,0.0,357.1651613797531
18,2021-08-19 09:22:26,353.877143937494,-539.4005389023688,1206.8615120527638,353.877143937494,353.877143937494,0.0,0.0,0.0,0.0,0.0,0.0,353.877143937494
19,2021-08-19 09:52:26,350.589126495235,-483.6841656522981,1214.0288232338994,350.589126495235,350.589126495235,0.0,0.0,0.0,0.0,0.0,0.0,350.589126495235
20,2021-08-19 10:22:26,347.3010694990716,-511.2874467189636,1186.1352587270628,347.3010694990716,347.3010694990716,0.0,0.0,0.0,0.0,0.0,0.0,347.3010694990716
